Subject	RT high R	RT low R	Acc high R	Acc low R
1	500.49	536.29	0.1425	0.15
2	402.54	433.39	0.65	0.6625
3	429.4	452.12	0.7375	0.65
4	455.8	462.71	0.69	0.69
5	463.43	471.44	0.8075	0.7475
6	419.24	409.19	0.635	0.6225
7	249.03	248.51	0.5125	0.3975
8	422.5	437.13	0.7725	0.7275
9	406.71	433.66	0.655	0.5675
10	406.87	424.56	0.67	0.61
11	430.04	423.51	0.7925	0.83
